id,title,media_type,genres,popularity,vote_average,vote_count,year,category,x,y,z,centroid_x,centroid_y,centroid_z,dist_from_centroid
259892,Omar Affendi,tv,"Drama, Action & Adventure, Comedy",2.3482,6.8,4,2024,egyptian,0.0027628911325788866,0.6799999999999999,0.00010108157282927322,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.04274235679304171
121486,Nasl El Aghrab,tv,Drama,2.1379,6.0,3,2021,egyptian,0.0024339345537523344,0.6,7.581117962195492e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.09526680800114007
79585,Quarter Kilo of Romy Cheese,tv,Comedy,2.1078,8.0,6,2018,egyptian,0.0023868513724747344,0.8,0.00015162235924390984,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.122492826510595
73464,Selfie,tv,"Drama, Comedy",2.4817,8.3,3,2015,egyptian,0.002971715209009437,0.8300000000000001,7.581117962195492e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.15087765311129986
219560,The Second Wife,tv,Drama,1.9733,0.0,0,2013,egyptian,0.002176463070752569,0.0,0.0,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.686516007462373
115012,Lu'lu',tv,Drama,2.4145,5.6,5,2020,egyptian,0.002866599269412935,0.5599999999999999,0.00012635196603659154,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.1321398395028489
227180,Qasas El Ayat fil Qur'an,tv,"Kids, Animation",2.5627,0.0,0,2015,egyptian,0.0030984174576302206,0.0,0.0,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.6864761970667713
81065,Dead Right,tv,Drama,2.8645,7.0,1,2015,egyptian,0.00357050065063951,0.7,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.04446980784721796
52378,The Invasion,tv,Drama,2.1092,0.0,0,2007,egyptian,0.0023890412878829945,0.0,0.0,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.6865067186164316
72337,In The La La Land,tv,Comedy,2.5529,7.2,4,2017,egyptian,0.003083088049772398,0.72,0.00010108157282927322,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.05471942462461984
